pic,vendor,model,switch,keycap,description,s/n,link
 ,aroum,Kabarga v1, kailh-choc-v1,cn, , , ,
 ,soroka,kapee1 v2, LICHICX Lucy, cn, , , , https://github.com/aroum/soroka-RGB
 
