pic,name,vendor,type,action,date
725/hi-tek-725_black_clicky_19.jpg,"HI-TEK 725 Black Jet Stream	(2 eyes, a2,logo 1, h2)",NMB,HI-TEK 725,Clicky,26.03.16
725/hi-tek-725_green_linear_2.jpg,"HI-TEK 725 Green Jet Stream	(2 eyes, a2,no logo, h2)",NMB,HI-TEK 725,Linear,26.03.16
725/hi-tek-725_purple_linear.jpg,HI-TEK 725 Purple Linear,NMB,HI-TEK 725,Linear,26.03.16
725/hi-tek-725_white_linear_1.jpg,"HI-TEK 725 White Gundam (1 eye, round, logo 1, h1)",NMB,HI-TEK 725,Linear,26.03.16
725/hi-tek-725_white_linear_11.jpg,"HI-TEK 725 White Jet Stream (2 eyes, a1, logo 2, h1)",NMB,HI-TEK 725,Linear,26.03.16
725/hi-tek-725_white_linear_6.jpg,"HI-TEK 725 White Jet Stream(2 eyes, a2, no, h2)",NMB,HI-TEK 725,Linear,26.03.16
,Gateron KS-33 Blush Nano,Gateron,GLP 3.0,Linear Silent,26.03.16
,Gateron KS-33 Brown Nano,Gateron,GLP 3.0,Tactile,26.03.16
,Gateron KS-33 Grey heron,Gateron,GLP 3.0,Linear,26.03.16
,Gateron KS-33 Aloe,Gateron,GLP 2.0,Linear,26.03.16
,Gateron KS-33 Blue (black bottom),Gateron,GLP 2.0,Clicky,26.03.16
,Gateron KS-33 Brown (milky bottom),Gateron,GLP 2.0,Tactile,26.03.16
,Gateron KS-33 Red (black bottom),Gateron,GLP 2.0,Linear,26.03.16
,Gateron KS-33 Red (milky bottom),Gateron,GLP 2.0,Linear,26.03.16
,Gateron KS-33 Silent Brown 2.0,Gateron,GLP 2.0,Tactile,26.03.16
,Gateron KS-33 Silent Red 2.0,Gateron,GLP 2.0,Linear,26.03.16
,Gateron KS-33 Silver,Gateron,GLP 2.0,Linear,26.03.16
,Gateron KS-33 Wisteria,Gateron,GLP 2.0,Tactile,26.03.16
,Gateron KS-33 Silent White 2.0,Gateron,GLP 2.0,Linear,26.03.16
,Gateron KS-33 Silent Black 2.0,Gateron,GLP 2.0,Linear,26.03.16
,Gateron KS-33 Chocolate,Gateron,GLP 2.0,Tactile,26.03.16
,Futaba MA-41 White Momentary clicky Futaba Mount,Futaba,Futaba MA,Clicky,26.03.16
,Futaba MA-41 White Momentary clicky MX Mount,Futaba,Futaba MA,Clicky,26.03.16
,Consul 259.6,Consul,Consul,Linear,26.03.16
,Consul 262.3,Consul,Consul,Linear,26.03.16
kailh/choc-v2/PG1353_choc_v2_blue.webp,Kailh Choc V2 Blue (Black bottom),Kailh,Choc V2,Clicky,26.04.04
kailh/choc-v2/PG1353_choc_v2_brown.webp,Kailh Choc V2 Brown (Black bottom),Kailh,Choc V2,Tactile,26.04.04
kailh/choc-v2/PG1353_choc_v2_kailh_brown_milky.png,Kailh Choc V2 Brown (Milky bottom),Kailh,Choc V2,Tactile,26.04.04
kailh/choc-v2/PG1353_choc_v2_deep_sea_lonely_island.webp,Kailh Choc V2 Deep Sea Lonely Island,Kailh,Choc V2,Linear Silent,26.04.04
kailh/choc-v2/PG1353_choc_v2_deep_sea_pink_island.webp,Kailh Choc V2 Deep Sea Pink Island,Kailh,Choc V2,Linear Silent,26.04.04
kailh/choc-v2/PG1353_choc_v2_deep_sea_whale.webp,Kailh Choc V2 Deep Sea Whale,Kailh,Choc V2,Tactile Silent,26.04.04
kailh/choc-v2/PG1353_choc_v2_ghost_blood_pearl.jpg,Kailh Choc V2 DOIO Blood Pearl,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_elements_black_cloud.webp,Kailh Choc V2 Elements Black Cloud,Kailh,Choc V2,Tactile,26.04.04
kailh/choc-v2/PG1353_choc_v2_elements_hide_mountain.webp,Kailh Choc V2 Elements Hide Mountain,Kailh,Choc V2,Clicky,26.04.04
kailh/choc-v2/PG1353_choc_v2_elements_white_rain.webp,Kailh Choc V2 Elements White Rain,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_four_seasons_autumn.webp,Kailh Choc V2 Four Seasons Autumn,Kailh,Choc V2,Clicky,26.04.04
kailh/choc-v2/PG1353_choc_v2_four_seasons_spring.webp,Kailh Choc V2 Four Seasons Spring,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_four_seasons_summer.webp,Kailh Choc V2 Four Seasons Summer,Kailh,Choc V2,Clicky,26.04.04
kailh/choc-v2/PG1353_choc_v2_four_seasons_winter.webp,Kailh Choc V2 Four Seasons Winter,Kailh,Choc V2,Tactile,26.04.04
kailh/choc-v2/PG1353_choc_v2_fruit_durian.jpg,Kailh Choc V2 Fruit Durian,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_fruit_white_peach.jpg,Kailh Choc V2 Fruit White Peach,Kailh,Choc V2,Tactile,26.04.04
kailh/choc-v2/PG1353_choc_v2_lofree_specter.webp,Kailh Choc V2 Full POM 1.0 Specter,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_haute42_crystal.webp,Kailh Choc V2 Haute42 Crystal,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_haute42_shadow_hunting.webp,Kailh Choc V2 Haute42 Shadow Hunting,Kailh,Choc V2,Linear Silent,26.04.04
kailh/choc-v2/PG1353_choc_v2_haute42_wind_engine.webp,Kailh Choc V2 Haute42 Wind Engine,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_ice_cream_ice_cream.webp,Kailh Choc V2 Ice Cream,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_ice_cream_taro.webp,Kailh Choc V2 Ice Cream Taro,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_lofree_pulse.webp,Kailh Choc V2 Lofree Cloud Pulse,Kailh,Choc V2,Tactile,26.04.04
kailh/choc-v2/PG1353_choc_v2_lofree_surfer.webp,Kailh Choc V2 Lofree Cloud Surfer,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_lofree_void.webp,Kailh Choc V2 Lofree Cloud Void,Kailh,Choc V2,Linear Silent,26.04.04
kailh/choc-v2/PG1353_choc_v2_lofree_shadow_ghost.webp,Kailh Choc V2 Lofree Shadow Ghost,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_lofree_shadow_phantom.webp,Kailh Choc V2 Lofree Shadow Phantom,Kailh,Choc V2,Tactile,26.04.04
kailh/choc-v2/PG1353_choc_v2_lofree_shadow_wizard.webp,Kailh Choc V2 Lofree Shadow Wizard,Kailh,Choc V2,Clicky,26.04.04
kailh/choc-v2/PG1353_choc_v2_raptor_black_kite.png,Kailh Choc V2 Raptor Black Kite,Kailh,Choc V2,Linear Silent,26.04.04
kailh/choc-v2/PG1353_choc_v2_raptor_purple_iris.webp,Kailh Choc V2 Raptor Purple Iris,Kailh,Choc V2,Linear Silent,26.04.04
kailh/choc-v2/PG1353_choc_v2_raptor_saker_mini.png,Kailh Choc V2 Raptor Saker mini (FALCO),Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_red.webp,Kailh Choc V2 Red (Black bottom),Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_iqunix_gold_red.png,Kailh Choc V2 Iqunix Gold Red,Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_kailh_red_milky.png,Kailh Choc V2 Red (Milky bottom),Kailh,Choc V2,Linear,26.04.04
kailh/choc-v2/PG1353_choc_v2_kailh_sunlight_sunshine.png,Kailh Choc V2 Sunlight Sunshine,Kailh,Choc V2,Linear,26.04.04
,Aula f2090 (choc v1 OEM),K?,Choc V1 (OEM),Clicky,26.03.16
kailh/choc-v1/PG1350_choc_v1_black.jpg,Kailh Choc V1 Black,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_brown.webp,Kailh Choc V1 Brown,Kailh,Choc V1,Tactile,26.03.16
kailh/choc-v1/PG1350_choc_v1_burnt_orange.webp,Kailh Choc V1 Burnt Orange,Kailh,Choc V1,Tactile,26.03.16
kailh/choc-v1/PG1350_choc_v1_crystal_red.webp,Kailh Choc V1 Crystal Red,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_dark_yellow.webp,Kailh Choc V1 Dark Yellow,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_jade.webp,Kailh Choc V1 Jade,Kailh,Choc V1,Clicky,26.03.16
kailh/choc-v1/PG1350_choc_v1_light_blue_gchoc.webp,Kailh Choc V1 Light Blue (gChoc),Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_navy.webp,Kailh Choc V1 Navy,Kailh,Choc V1,Clicky,26.03.16
kailh/choc-v1/PG1350_choc_v1_pale_blue.webp,Kailh Choc V1 Pale Blue,Kailh,Choc V1,Clicky,26.03.16
kailh/choc-v1/PG1350_choc_v1_pink.webp,Kailh Choc V1 Pink,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_pro_red.webp,Kailh Choc V1 Pro Red,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_purpz.jpg,Kailh Choc V1 Purpz,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_red.webp,Kailh Choc V1 Red,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_robin.webp,Kailh Choc V1 Robin,Kailh,Choc V1,Clicky,26.03.16
kailh/choc-v1/PG1350_choc_v1_silver.webp,Kailh Choc V1 Silver,Kailh,Choc V1,Linear,26.03.16
kailh/choc-v1/PG1350_choc_v1_sunset.webp,Kailh Choc V1 Sunset,Kailh,Choc V1,Tactile,26.03.16
kailh/choc-v1/PG1350_choc_v1_twilight.webp,Kailh Choc V1 Twilight,Kailh,Choc V1,Linear Silent,26.03.16
kailh/choc-v1/PG1350_choc_v1_white.webp,Kailh Choc V1 White,Kailh,Choc V1,Clicky,26.03.16
kailh/choc-v1/PG1350_choc_v1_golden_kiwi_white.jpg,Kailh Choc V1 Golden Kiwi (White Case),Kailh,Choc V1,Tactile Silent,26.09.12
kailh/choc-v1/PG1350_choc_v1_golden_kiwi_black.jpg,Kailh Choc V1 Golden Kiwi (Black Case),Kailh,Choc V1,Tactile Silent,26.09.12
kailh/choc-v1/PG1350_choc_v1_bokeh.webp,Kailh Choc V1 Bokeh,Kailh,Choc V1,Linear Silent,26.09.12
,Omron B3G-S Amber Clicky,Omron,B3G-S,Clicky,26.03.16
,Omron B3G-S White Heavy Clicky,Omron,B3G-S,Clicky,26.03.16
,Omron B3G-S White Linear,Omron,B3G-S,Linear,26.03.16
,Omron B3G-S White Tactile,Omron,B3G-S,Tactile,26.03.16
,Unknown Omron B3G-S Clone Black,Unknown,B3G-S,Tactile,26.03.16
,Unknown Omron B3G-S Clone White,Unknown,B3G-S,Clicky,26.03.16
